"ID","Description","Category","GeneRatio","num","denom","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0019221","cytokine-mediated signaling pathway","immune response",0.044932079414838,43,957,"428/22777",1.28512281245073E-07,1.29253698252256E-05,9.65402987247905E-06,"Mmp12/H2bc21/Cxcl9/Ccrl2/Acsl1/Krt18/Ptpn2/Iigp1/Ackr1/Il1a/Irgm1/Isg15/Hif1a/Sphk1/Ereg/Nlrp6/Lilra6/Il1b/Il2rb/Il33/Oas1a/Lepr/Cxcl10/Irak3/Kit/Zbp1/Ripk2/Igtp/Irf1/Stap1/Sigirr/Ccl20/Cxcl5/Oasl1/Casp4/Ackr3/Irgm2/Ccr2/Il6/Ccl2/Prlr/Il6ra/Ccl11",43,"Liver"
"GO:0034341","response to type II interferon","immune response",0.0229885057471264,22,957,"145/22777",1.77347805000689E-07,1.59918796578207E-05,1.19444229465981E-05,"Ptpn2/Irgm1/Irf8/Aqp4/Gbp4/Slc26a6/Ubd/Gbp5/Rab7b/Gbp3/Igtp/Irf1/Stxbp4/Tgtp1/Gbp6/Ccl20/Irgm2/Tlr2/Gbp9/Ccl2/Gbp2/Ccl11",22,"Liver"
"GO:0031349","positive regulation of defense response","immune response",0.044932079414838,43,957,"447/22777",4.26248367227058E-07,3.37769539484472E-05,2.52281928354005E-05,"Serpine1/Tgm2/Mmp12/H2-M3/Gja1/Cd14/Mmp8/Irgm1/Tnip1/Gimap5/Rftn1/Ctss/Ifi213/Ereg/Nlrp6/Pvr/Cebpb/Il1b/Gbp5/Il33/Rab7b/Oas1a/Irak3/Zbp1/Ripk2/Igtp/Irf1/Cd28/Stap1/Fabp4/Oasl1/Casp4/Clec4e/Gprc5b/Ifi205/Irgm2/Tlr2/Ccr2/Il6/Lpl/Ifi204/Cd86/Nlrp3",43,"Liver"
"GO:0050900","leukocyte migration","cell",0.0397074190177638,38,957,"383/22777",9.3597069003142E-07,6.19636292261307E-05,4.62809757589154E-05,"Cd200/Selp/Serpine1/Vegfa/Cxcl9/Pde4b/Slc37a4/Sele/Cd34/Il1a/Myo1f/Nlrp12/Itgam/Slamf9/Stk10/Pla2g7/Ch25h/Il1b/Icam1/Trem1/Il33/Aif1/Pde4d/Dapk2/Cxcl10/Kit/Slamf8/Camk1d/Stap1/Ccl20/Tnfaip6/Cxcl5/Tlr2/Ccr2/Dock8/Ccl2/Dusp1/Ccl11",38,"Liver"
"GO:0097529","myeloid leukocyte migration","cell",0.0292580982236155,28,957,"239/22777",1.01537224317553E-06,6.55604547136796E-05,4.89674645149371E-05,"Cd200/Serpine1/Vegfa/Cxcl9/Pde4b/Slc37a4/Il1a/Myo1f/Itgam/Pla2g7/Il1b/Trem1/Aif1/Pde4d/Dapk2/Cxcl10/Kit/Slamf8/Camk1d/Stap1/Ccl20/Tnfaip6/Cxcl5/Tlr2/Ccr2/Ccl2/Dusp1/Ccl11",28,"Liver"
"GO:0050727","regulation of inflammatory response","immune response",0.0376175548589342,36,957,"371/22777",3.0079015900832E-06,0.000162045154452965,0.000121032417867557,"Cd200/Serpine1/Tgm2/Ctla2a/Ier3/Ptpn2/Mmp8/Tnip1/Sphk1/Nlrp12/Ctss/Nlrp6/Il20rb/Npy/Cebpb/Adora2a/Il1b/Il33/Zbp1/Slamf8/Cd28/Adrb2/Ffar4/Stap1/Fabp4/Tnfaip6/Casp4/Tnc/Gprc5b/Tlr2/Ccr2/Dusp10/Il6/Lpl/Nlrp3/Mgll",36,"Liver"
"GO:0001818","negative regulation of cytokine production","immune response",0.03239289446186,31,957,"296/22777",3.04990843015083E-06,0.000162045154452965,0.000121032417867557,"Cd200/Slc37a4/Cd34/Mmp8/Gimap5/Nlrp12/Inhbb/Nlrp6/Aqp4/Gbp4/Il20rb/Rgcc/Il33/Oas1a/Irak3/Arg2/Relb/Gbp3/Homer2/Cdh3/Abcd2/Ffar4/Sigirr/Cd274/Dll1/Abcd1/Tlr2/Ddit3/Il6/Bank1/Nlrp3",31,"Liver"
"GO:0007159","leukocyte cell-cell adhesion","cell",0.0407523510971787,39,957,"418/22777",3.07240059537661E-06,0.000162045154452965,0.000121032417867557,"Selp/Clec4g/Sdc4/Phf10/Ptpn2/Sele/Il1a/Fgl2/Tnip1/Gimap5/Itgam/Stk10/Il20rb/Cebpb/Adora2a/Il1b/Icam1/Aif1/Mad1l1/Zc3h12d/Arg2/Olr1/Ripk2/Efnb1/Irf1/Sox12/Cd28/Cd274/Igf2/Ccr2/Dusp10/Dock8/Il6/Ccl2/Cd86/Smarcd3/Sirpb1c/Smarca2/Nlrp3",39,"Liver"
"GO:0030595","leukocyte chemotaxis","cell",0.0271682340647858,26,957,"228/22777",4.04030377213894E-06,0.00019565545118784,0.000146136133512745,"Serpine1/Vegfa/Cxcl9/Pde4b/Slc37a4/Itgam/Slamf9/Pla2g7/Ch25h/Il1b/Trem1/Aif1/Pde4d/Dapk2/Cxcl10/Kit/Slamf8/Camk1d/Stap1/Ccl20/Tnfaip6/Cxcl5/Ccr2/Ccl2/Dusp1/Ccl11",26,"Liver"
"GO:0009615","response to virus","immune response",0.0365726227795193,35,957,"363/22777",4.73787024642486E-06,0.000221241619542875,0.000165246583500777,"Kcnj8/Mlkl/Mmp12/Ddit4/Cxcl9/Irgm1/Fgl2/Isg15/Hif1a/Spon2/Ifi213/Nlrp6/Gbp4/Il1b/Il33/Rab7b/Oas1a/Cxcl10/Irak3/Zbp1/Gbp3/Rtp4/Igtp/Irf1/Tgtp1/Cd207/Skp2/Oasl1/Ifi205/Irgm2/Il6/Ifit2/Ifi204/Cd86/Nlrp3",35,"Liver"
